crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-1.277292	2102	0.000000
281474976710655.000000	-1.164936	2103	0.000000
281474976710655.000000	-1.199839	2104	0.000000
281474976710655.000000	-1.193017	2105	0.000000
281474976710655.000000	-1.306008	2106	0.000000
281474976710655.000000	-1.252762	2107	0.000000
281474976710655.000000	-1.176230	2108	0.000000
281474976710655.000000	-1.215668	2109	0.000000
281474976710655.000000	-1.287923	2110	0.000000
281474976710655.000000	-1.218920	2111	0.000000
281474976710655.000000	-1.292258	2112	0.000000
281474976710655.000000	-1.225517	2113	0.000000
281474976710655.000000	-1.249807	2114	0.000000
281474976710655.000000	-1.155936	2115	0.000000
281474976710655.000000	-1.199839	2116	0.000000
281474976710655.000000	-1.287252	2117	0.000000
281474976710655.000000	-1.232718	2118	0.000000
281474976710655.000000	-1.273243	2119	0.000000
281474976710655.000000	-1.164771	2120	0.000000
281474976710655.000000	-1.226934	2121	0.000000
281474976710655.000000	-1.163205	2122	0.000000
281474976710655.000000	-1.307433	2123	0.000000
281474976710655.000000	-1.148733	2124	0.000000
281474976710655.000000	-1.290083	2125	0.000000
281474976710655.000000	-1.173830	2126	0.000000
281474976710655.000000	-1.132664	2127	0.000000
281474976710655.000000	-1.217952	2128	0.000000
281474976710655.000000	-1.187165	2129	0.000000
281474976710655.000000	-1.271543	2130	0.000000
281474976710655.000000	-1.166975	2131	0.000000
281474976710655.000000	-1.130885	2132	0.000000
281474976710655.000000	-1.215030	2133	0.000000
281474976710655.000000	-1.247235	2134	0.000000
281474976710655.000000	-1.140986	2135	0.000000
281474976710655.000000	-1.201669	2136	0.000000
281474976710655.000000	-1.236883	2137	0.000000
281474976710655.000000	-1.276381	2138	0.000000
281474976710655.000000	-1.168140	2139	0.000000
281474976710655.000000	-1.198146	2140	0.000000
281474976710655.000000	-1.119029	2141	0.000000
281474976710655.000000	-1.173128	2142	0.000000
281474976710655.000000	-1.187962	2143	0.000000
281474976710655.000000	-1.219604	2144	0.000000
281474976710655.000000	-1.124250	2145	0.000000
281474976710655.000000	-1.238972	2146	0.000000
281474976710655.000000	-1.207824	2147	0.000000
281474976710655.000000	-1.276042	2148	0.000000
281474976710655.000000	-1.206430	2149	0.000000
281474976710655.000000	-1.151412	2150	0.000000
281474976710655.000000	-1.116427	2151	0.000000
281474976710655.000000	-1.195657	2152	0.000000
281474976710655.000000	-1.129092	2153	0.000000
281474976710655.000000	-1.205368	2154	0.000000
281474976710655.000000	-1.241145	2155	0.000000
281474976710655.000000	-1.148125	2156	0.000000
281474976710655.000000	-1.191578	2157	0.000000
281474976710655.000000	-1.166904	2158	0.000000
281474976710655.000000	-1.252638	2159	0.000000
281474976710655.000000	-1.143326	2160	0.000000
281474976710655.000000	-1.158614	2161	0.000000
281474976710655.000000	-1.222476	2162	0.000000
281474976710655.000000	-1.154058	2163	0.000000
281474976710655.000000	-1.190138	2164	0.000000
281474976710655.000000	-1.233782	2165	0.000000
281474976710655.000000	-1.212862	2166	0.000000
281474976710655.000000	-1.168056	2167	0.000000
281474976710655.000000	-1.249772	2168	0.000000
281474976710655.000000	-1.067638	2169	0.000000
281474976710655.000000	-1.202774	2170	0.000000
281474976710655.000000	-1.133935	2171	0.000000
281474976710655.000000	-1.236211	2172	0.000000
281474976710655.000000	-1.146167	2173	0.000000
281474976710655.000000	-1.195159	2174	0.000000
281474976710655.000000	-1.147956	2175	0.000000
281474976710655.000000	-1.263017	2176	0.000000
281474976710655.000000	-1.222033	2177	0.000000
281474976710655.000000	-1.171896	2178	0.000000
281474976710655.000000	-1.109210	2179	0.000000
281474976710655.000000	-1.188295	2180	0.000000
281474976710655.000000	-1.247678	2181	0.000000
281474976710655.000000	-1.151908	2182	0.000000
281474976710655.000000	-1.206529	2183	0.000000
281474976710655.000000	-1.126046	2184	0.000000
281474976710655.000000	-1.190159	2185	0.000000
281474976710655.000000	-1.117135	2186	0.000000
281474976710655.000000	-1.199337	2187	0.000000
281474976710655.000000	-1.211275	2188	0.000000
281474976710655.000000	-1.251997	2189	0.000000
281474976710655.000000	-1.232004	2190	0.000000
281474976710655.000000	-1.191037	2191	0.000000
281474976710655.000000	-1.164201	2192	0.000000
281474976710655.000000	-1.216759	2193	0.000000
281474976710655.000000	-1.226687	2194	0.000000
281474976710655.000000	-1.197703	2195	0.000000
281474976710655.000000	-1.247732	2196	0.000000
281474976710655.000000	-1.134529	2197	0.000000
281474976710655.000000	-1.191485	2198	0.000000
281474976710655.000000	-1.168650	2199	0.000000
281474976710655.000000	-1.157866	2200	0.000000
281474976710655.000000	-1.158802	2201	0.000000
281474976710655.000000	-1.188539	2202	0.000000
281474976710655.000000	-1.192898	2203	0.000000
281474976710655.000000	-1.207825	2204	0.000000
281474976710655.000000	-1.152323	2205	0.000000
281474976710655.000000	-1.234945	2206	0.000000
281474976710655.000000	-1.153532	2207	0.000000
281474976710655.000000	-1.253082	2208	0.000000
281474976710655.000000	-1.108301	2209	0.000000
281474976710655.000000	-1.141114	2210	0.000000
281474976710655.000000	-1.225159	2211	0.000000
281474976710655.000000	-1.115219	2212	0.000000
281474976710655.000000	-1.225065	2213	0.000000
281474976710655.000000	-1.129467	2214	0.000000
281474976710655.000000	-1.191244	2215	0.000000
281474976710655.000000	-1.157049	2216	0.000000
281474976710655.000000	-1.270211	2217	0.000000
281474976710655.000000	-1.138731	2218	0.000000
281474976710655.000000	-1.259706	2219	0.000000
281474976710655.000000	-1.140167	2220	0.000000
281474976710655.000000	-1.122672	2221	0.000000
281474976710655.000000	-1.161938	2222	0.000000
281474976710655.000000	-1.214497	2223	0.000000
281474976710655.000000	-1.140755	2224	0.000000
281474976710655.000000	-1.131429	2225	0.000000
281474976710655.000000	-1.223246	2226	0.000000
281474976710655.000000	-1.171793	2227	0.000000
281474976710655.000000	-1.184598	2228	0.000000
281474976710655.000000	-1.210991	2229	0.000000
281474976710655.000000	-1.128182	2230	0.000000
281474976710655.000000	-1.150257	2231	0.000000
281474976710655.000000	-1.190586	2232	0.000000
281474976710655.000000	-1.201849	2233	0.000000
281474976710655.000000	-1.205139	2234	0.000000
281474976710655.000000	-1.195583	2235	0.000000
281474976710655.000000	-1.226995	2236	0.000000
281474976710655.000000	-1.160676	2237	0.000000
281474976710655.000000	-1.246513	2238	0.000000
281474976710655.000000	-1.140332	2239	0.000000
281474976710655.000000	-1.220346	2240	0.000000
281474976710655.000000	-1.203393	2241	0.000000
281474976710655.000000	-1.148004	2242	0.000000
281474976710655.000000	-1.147200	2243	0.000000
281474976710655.000000	-1.104903	2244	0.000000
281474976710655.000000	-1.227195	2245	0.000000
281474976710655.000000	-1.141696	2246	0.000000
281474976710655.000000	-1.257032	2247	0.000000
281474976710655.000000	-1.122209	2248	0.000000
281474976710655.000000	-1.211445	2249	0.000000
281474976710655.000000	-1.156544	2250	0.000000
281474976710655.000000	-1.224249	2251	0.000000
281474976710655.000000	-1.216298	2252	0.000000
281474976710655.000000	-1.113664	2253	0.000000
281474976710655.000000	-1.166745	2254	0.000000
281474976710655.000000	-1.235314	2255	0.000000
281474976710655.000000	-1.148850	2256	0.000000
281474976710655.000000	-1.135649	2257	0.000000
281474976710655.000000	-1.107690	2258	0.000000
281474976710655.000000	-1.172369	2259	0.000000
281474976710655.000000	-1.184480	2260	0.000000
281474976710655.000000	-1.096235	2261	0.000000
281474976710655.000000	-1.146431	2262	0.000000
281474976710655.000000	-1.182129	2263	0.000000
281474976710655.000000	-1.200299	2264	0.000000
281474976710655.000000	-1.116399	2265	0.000000
281474976710655.000000	-1.098969	2266	0.000000
281474976710655.000000	-1.131112	2267	0.000000
281474976710655.000000	-1.172015	2268	0.000000
281474976710655.000000	-1.195267	2269	0.000000
281474976710655.000000	-1.102399	2270	0.000000
281474976710655.000000	-1.227841	2271	0.000000
281474976710655.000000	-1.127932	2272	0.000000
281474976710655.000000	-1.150335	2273	0.000000
281474976710655.000000	-1.133232	2274	0.000000
281474976710655.000000	-1.176404	2275	0.000000
281474976710655.000000	-1.118181	2276	0.000000
281474976710655.000000	-1.175320	2277	0.000000
281474976710655.000000	-1.078117	2278	0.000000
281474976710655.000000	-1.167991	2279	0.000000
281474976710655.000000	-1.164239	2280	0.000000
281474976710655.000000	-1.150895	2281	0.000000
281474976710655.000000	-1.237528	2282	0.000000
281474976710655.000000	-1.158769	2283	0.000000
281474976710655.000000	-1.142332	2284	0.000000
281474976710655.000000	-1.169050	2285	0.000000
281474976710655.000000	-1.162728	2286	0.000000
281474976710655.000000	-1.156682	2287	0.000000
281474976710655.000000	-1.160032	2288	0.000000
281474976710655.000000	-1.189284	2289	0.000000
281474976710655.000000	-1.215584	2290	0.000000
281474976710655.000000	-1.094619	2291	0.000000
281474976710655.000000	-1.135380	2292	0.000000
281474976710655.000000	-1.125856	2293	0.000000
281474976710655.000000	-1.146942	2294	0.000000
281474976710655.000000	-1.126814	2295	0.000000
281474976710655.000000	-1.164973	2296	0.000000
281474976710655.000000	-1.134329	2297	0.000000
281474976710655.000000	-1.124253	2298	0.000000
281474976710655.000000	-1.139833	2299	0.000000
281474976710655.000000	-1.123273	2300	0.000000
281474976710655.000000	-1.158182	2301	0.000000
281474976710655.000000	-1.167977	2302	0.000000
281474976710655.000000	-1.180102	2303	0.000000
281474976710655.000000	-1.120563	2304	0.000000
281474976710655.000000	-1.143305	2305	0.000000
281474976710655.000000	-1.140629	2306	0.000000
281474976710655.000000	-1.174265	2307	0.000000
281474976710655.000000	-1.067302	2308	0.000000
281474976710655.000000	-1.171836	2309	0.000000
281474976710655.000000	-1.126351	2310	0.000000
281474976710655.000000	-1.154504	2311	0.000000
281474976710655.000000	-1.099772	2312	0.000000
281474976710655.000000	-1.085053	2313	0.000000
281474976710655.000000	-1.137051	2314	0.000000
281474976710655.000000	-1.190928	2315	0.000000
281474976710655.000000	-1.117624	2316	0.000000
281474976710655.000000	-1.174775	2317	0.000000
281474976710655.000000	-1.152081	2318	0.000000
281474976710655.000000	-1.105353	2319	0.000000
281474976710655.000000	-1.143044	2320	0.000000
281474976710655.000000	-1.222764	2321	0.000000
281474976710655.000000	-1.088548	2322	0.000000
281474976710655.000000	-1.194411	2323	0.000000
281474976710655.000000	-1.113464	2324	0.000000
281474976710655.000000	-1.155777	2325	0.000000
281474976710655.000000	-1.093871	2326	0.000000
281474976710655.000000	-1.185763	2327	0.000000
281474976710655.000000	-1.162025	2328	0.000000
281474976710655.000000	-1.174232	2329	0.000000
281474976710655.000000	-1.186232	2330	0.000000
281474976710655.000000	-1.156864	2331	0.000000
281474976710655.000000	-1.141801	2332	0.000000
281474976710655.000000	-1.119355	2333	0.000000
281474976710655.000000	-1.107068	2334	0.000000
281474976710655.000000	-1.149741	2335	0.000000
281474976710655.000000	-1.173460	2336	0.000000
281474976710655.000000	-1.138366	2337	0.000000
281474976710655.000000	-1.125705	2338	0.000000
281474976710655.000000	-1.103378	2339	0.000000
281474976710655.000000	-1.142326	2340	0.000000
281474976710655.000000	-1.148471	2341	0.000000
281474976710655.000000	-1.216376	2342	0.000000
281474976710655.000000	-1.069630	2343	0.000000
281474976710655.000000	-1.147803	2344	0.000000
281474976710655.000000	-1.154266	2345	0.000000
281474976710655.000000	-1.146917	2346	0.000000
281474976710655.000000	-1.133135	2347	0.000000
281474976710655.000000	-1.103071	2348	0.000000
281474976710655.000000	-1.144751	2349	0.000000
281474976710655.000000	-1.132265	2350	0.000000
281474976710655.000000	-1.155542	2351	0.000000
281474976710655.000000	-1.126298	2352	0.000000
281474976710655.000000	-1.143566	2353	0.000000
281474976710655.000000	-1.086371	2354	0.000000
281474976710655.000000	-1.179168	2355	0.000000
281474976710655.000000	-1.127180	2356	0.000000
281474976710655.000000	-1.137068	2357	0.000000
281474976710655.000000	-1.133278	2358	0.000000
281474976710655.000000	-1.158685	2359	0.000000
281474976710655.000000	-1.105044	2360	0.000000
281474976710655.000000	-1.165208	2361	0.000000
281474976710655.000000	-1.112144	2362	0.000000
281474976710655.000000	-1.121994	2363	0.000000
281474976710655.000000	-1.146696	2364	0.000000
281474976710655.000000	-1.181401	2365	0.000000
281474976710655.000000	-1.110481	2366	0.000000
281474976710655.000000	-1.105130	2367	0.000000
281474976710655.000000	-1.173106	2368	0.000000
281474976710655.000000	-1.183178	2369	0.000000
281474976710655.000000	-1.160793	2370	0.000000
281474976710655.000000	-1.133819	2371	0.000000
281474976710655.000000	-1.103320	2372	0.000000
281474976710655.000000	-1.134696	2373	0.000000
281474976710655.000000	-1.072119	2374	0.000000
281474976710655.000000	-1.184439	2375	0.000000
281474976710655.000000	-1.086087	2376	0.000000
281474976710655.000000	-1.118395	2377	0.000000
281474976710655.000000	-1.149987	2378	0.000000
281474976710655.000000	-1.156817	2379	0.000000
281474976710655.000000	-1.154332	2380	0.000000
281474976710655.000000	-1.131658	2381	0.000000
281474976710655.000000	-1.108377	2382	0.000000
281474976710655.000000	-1.108863	2383	0.000000
281474976710655.000000	-1.126691	2384	0.000000
281474976710655.000000	-1.133032	2385	0.000000
281474976710655.000000	-1.167952	2386	0.000000
281474976710655.000000	-1.097287	2387	0.000000
281474976710655.000000	-1.143669	2388	0.000000
281474976710655.000000	-1.133827	2389	0.000000
281474976710655.000000	-1.148053	2390	0.000000
281474976710655.000000	-1.056051	2391	0.000000
281474976710655.000000	-1.148682	2392	0.000000
281474976710655.000000	-1.114964	2393	0.000000
281474976710655.000000	-1.159655	2394	0.000000
281474976710655.000000	-1.114463	2395	0.000000
281474976710655.000000	-1.169975	2396	0.000000
281474976710655.000000	-1.176712	2397	0.000000
281474976710655.000000	-1.170890	2398	0.000000
281474976710655.000000	-1.103112	2399	0.000000
281474976710655.000000	-1.081148	2400	0.000000
281474976710655.000000	-1.111725	2401	0.000000
281474976710655.000000	-1.086804	2402	0.000000
281474976710655.000000	-1.113313	2403	0.000000
281474976710655.000000	-1.124161	2404	0.000000
281474976710655.000000	-1.179119	2405	0.000000
281474976710655.000000	-1.131790	2406	0.000000
281474976710655.000000	-1.147161	2407	0.000000
281474976710655.000000	-1.134233	2408	0.000000
281474976710655.000000	-1.140411	2409	0.000000
281474976710655.000000	-1.161186	2410	0.000000
281474976710655.000000	-1.143799	2411	0.000000
281474976710655.000000	-1.114020	2412	0.000000
281474976710655.000000	-1.109501	2413	0.000000
281474976710655.000000	-1.111700	2414	0.000000
281474976710655.000000	-1.169957	2415	0.000000
281474976710655.000000	-1.111399	2416	0.000000
281474976710655.000000	-1.139767	2417	0.000000
281474976710655.000000	-1.091862	2418	0.000000
281474976710655.000000	-1.159880	2419	0.000000
281474976710655.000000	-1.159663	2420	0.000000
281474976710655.000000	-1.108826	2421	0.000000
281474976710655.000000	-1.146942	2422	0.000000
281474976710655.000000	-1.146825	2423	0.000000
281474976710655.000000	-1.122205	2424	0.000000
281474976710655.000000	-1.165119	2425	0.000000
281474976710655.000000	-1.095367	2426	0.000000
281474976710655.000000	-1.170124	2427	0.000000
281474976710655.000000	-1.067076	2428	0.000000
281474976710655.000000	-1.108766	2429	0.000000
281474976710655.000000	-1.124721	2430	0.000000
281474976710655.000000	-1.103317	2431	0.000000
281474976710655.000000	-1.101666	2432	0.000000
281474976710655.000000	-1.071102	2433	0.000000
281474976710655.000000	-1.112849	2434	0.000000
281474976710655.000000	-1.130204	2435	0.000000
281474976710655.000000	-1.080832	2436	0.000000
281474976710655.000000	-1.152710	2437	0.000000
281474976710655.000000	-1.134971	2438	0.000000
281474976710655.000000	-1.121617	2439	0.000000
281474976710655.000000	-1.142043	2440	0.000000
281474976710655.000000	-1.080196	2441	0.000000
281474976710655.000000	-1.123026	2442	0.000000
281474976710655.000000	-1.146418	2443	0.000000
281474976710655.000000	-1.124933	2444	0.000000
281474976710655.000000	-1.145606	2445	0.000000
281474976710655.000000	-1.114556	2446	0.000000
281474976710655.000000	-1.080945	2447	0.000000
281474976710655.000000	-1.125847	2448	0.000000
281474976710655.000000	-1.172755	2449	0.000000
281474976710655.000000	-1.106487	2450	0.000000
281474976710655.000000	-1.110595	2451	0.000000
281474976710655.000000	-1.074311	2452	0.000000
281474976710655.000000	-1.160072	2453	0.000000
281474976710655.000000	-1.069630	2454	0.000000
281474976710655.000000	-1.140621	2455	0.000000
281474976710655.000000	-1.104887	2456	0.000000
281474976710655.000000	-1.120454	2457	0.000000
281474976710655.000000	-1.104987	2458	0.000000
281474976710655.000000	-1.085918	2459	0.000000
281474976710655.000000	-1.075023	2460	0.000000
281474976710655.000000	-1.072336	2461	0.000000
281474976710655.000000	-1.078331	2462	0.000000
281474976710655.000000	-1.098986	2463	0.000000
281474976710655.000000	-1.114996	2464	0.000000
281474976710655.000000	-1.122822	2465	0.000000
281474976710655.000000	-1.139584	2466	0.000000
