time (s)	det(V)
6353.391717	-0.006979	
6353.393717	-0.007739	
6353.395716	-0.007615	
6353.397717	-0.007501	
6353.399717	-0.008971	
6353.401716	-0.009267	
6353.403718	-0.008014	
6353.407717	-0.008647	
6353.409716	-0.005755	
6353.411717	-0.006865	
6353.413717	-0.005774	
6353.415716	-0.006416	
6353.419716	-0.006564	
6353.421716	-0.007413	
6353.423717	-0.006102	
6353.427717	-0.005897	
6353.429716	-0.004062	
6353.431718	-0.005273	
6353.433716	-0.005961	
6353.435717	-0.004488	
6353.437717	-0.003847	
6353.441716	-0.005808	
6353.445717	-0.004755	
6353.447716	-0.003552	
6353.449716	-0.004191	
6353.451716	-0.004670	
6353.453717	-0.003119	
6353.457716	-0.002493	
6353.459717	-0.003549	
6353.461717	-0.004982	
6353.463717	-0.004294	
6353.465718	-0.003786	
6353.467717	-0.003054	
6353.469717	-0.001571	
6353.471717	-0.001696	
6353.473716	-0.002582	
6353.475721	-0.000777	
6353.477717	-0.002934	
6353.479717	-0.003267	
6353.483717	-0.002736	
6353.485718	-0.002827	
6353.487716	-0.001737	
6353.489717	-0.001717	
6353.491717	-0.000166	
6353.493716	-0.000958	
6353.497716	-0.000816	
6353.499717	-0.002281	
6353.501716	-0.002679	
6353.505717	-0.002363	
6353.507717	0.000004	
6353.509717	0.000435	
6353.511717	-0.000450	
6353.513716	-0.000626	
6353.515717	0.000483	
6353.519717	-0.001759	
6353.523717	-0.001892	
6353.525716	0.000900	
6353.527717	0.000730	
6353.529716	0.001403	
6353.531717	0.000310	
6353.535716	0.000016	
6353.537716	-0.000883	
6353.539717	-0.000162	
6353.543717	0.001314	
6353.545716	0.002002	
6353.547717	0.001697	
6353.549717	0.000530	
6353.551717	0.001304	
6353.553717	0.002201	
6353.557716	0.001053	
6353.561717	0.002015	
6353.563716	0.002944	
6353.565717	0.002056	
6353.567717	0.001868	
6353.569717	0.002924	
6353.573716	0.003295	
6353.575716	0.002943	
6353.577716	0.001600	
6353.579716	0.003097	
6353.581720	0.002359	
6353.583718	0.003108	
6353.585718	0.003518	
6353.587717	0.003322	
6353.589717	0.005291	
6353.591716	0.005082	
6353.593717	0.003416	
6353.595716	0.003497	
6353.597717	0.002557	
6353.601717	0.003109	
6353.603716	0.005099	
6353.605716	0.005590	
6353.607721	0.005474	
6353.609717	0.005541	
6353.613716	0.005623	
6353.615715	0.004266	
6353.617717	0.003607	
6353.621717	0.005067	
6353.623717	0.006771	
6353.625716	0.007740	
6353.627717	0.006109	
6353.629717	0.007246	
6353.631716	0.006571	
6353.635717	0.005356	
6353.639717	0.005502	
6353.641716	0.008884	
6353.643717	0.008402	
6353.645716	0.008072	
6353.647716	0.007901	
6353.651715	0.008252	
6353.653716	0.007160	
6353.655718	0.007404	
6353.657717	0.007886	
6353.659719	0.009066	
6353.661717	0.010248	
6353.663716	0.009601	
6353.665716	0.009274	
6353.667717	0.009017	
6353.669717	0.011121	
6353.671717	0.008886	
6353.673717	0.009852	
6353.677716	0.010175	
6353.679717	0.011092	
6353.681717	0.011123	
6353.683717	0.011224	
6353.685716	0.012010	
6353.687717	0.011699	
6353.691716	0.013245	
6353.693717	0.012003	
6353.695717	0.012095	
6353.699717	0.012073	
6353.701717	0.013592	
6353.703716	0.014446	
6353.705717	0.015184	
6353.707716	0.015426	
6353.709716	0.016651	
6353.713716	0.014493	
6353.717717	0.014897	
6353.719717	0.016732	
6353.721717	0.017095	
6353.723716	0.017594	
6353.725717	0.018693	
6353.729716	0.018553	
6353.731717	0.017449	
6353.733717	0.016554	
6353.735717	0.018413	
6353.737717	0.019081	
6353.739717	0.020385	
6353.741720	0.021417	
6353.743717	0.021255	
6353.745717	0.022461	
6353.747717	0.022245	
6353.749716	0.020256	
6353.751716	0.021206	
6353.753719	0.020968	
6353.757717	0.022146	
6353.759717	0.024155	
6353.761717	0.025259	
6353.763717	0.025044	
6353.765718	0.024631	
6353.769716	0.025973	
6353.771716	0.024586	
6353.773717	0.026383	
6353.777717	0.027173	
6353.779716	0.028599	
6353.781717	0.028676	
6353.783716	0.028258	
6353.785716	0.030459	
6353.787716	0.029497	
6353.791716	0.030123	
6353.795717	0.030786	
6353.797717	0.031501	
6353.799716	0.031878	
6353.801717	0.032470	
6353.803717	0.032511	
6353.807715	0.034286	
6353.809716	0.032798	
6353.811716	0.033019	
6353.813717	0.032763	
6353.815718	0.034346	
6353.817716	0.033661	
6353.819717	0.035407	
6353.821717	0.035093	
6353.823716	0.035087	
6353.825716	0.036934	
6353.827718	0.033992	
6353.829716	0.034486	
6353.831719	0.033935	
6353.835718	0.033899	
6353.837717	0.033404	
6353.839717	0.034814	
6353.841717	0.034289	
6353.843717	0.032253	
6353.847716	0.032115	
6353.849718	0.027433	
6353.851717	0.026810	
6353.855717	0.024596	
6353.857718	0.023212	
6353.859716	0.021375	
6353.861717	0.017063	
6353.863716	0.014269	
6353.865717	0.011507	
6353.869717	0.005163	
6353.873718	-0.003377	
6353.875716	-0.011997	
6353.877718	-0.018798	
6353.879717	-0.026358	
6353.881716	-0.034159	
6353.885716	-0.043911	
6353.887717	-0.065674	
6353.889716	-0.076485	
6353.891716	-0.089573	
6353.893721	-0.102927	
6353.895717	-0.118582	
6353.897718	-0.136631	
6353.899717	-0.156934	
6353.901717	-0.177192	
6353.903716	-0.199217	
6353.905717	-0.225496	
6353.907717	-0.252343	
6353.909717	-0.283427	
6353.913718	-0.315848	
6353.915716	-0.389437	
6353.917717	-0.427650	
6353.919716	-0.470345	
6353.921716	-0.520384	
6353.925716	-0.572111	
6353.927717	-0.691300	
6353.929717	-0.755368	
6353.933717	-0.826415	
6353.935716	-0.975117	
6353.937716	-1.055474	
6353.939717	-1.140270	
6353.941716	-1.226941	
6353.945716	-1.316587	
6353.949716	-1.516722	
6353.951717	-1.639455	
6353.953716	-1.639565	
6353.955717	-1.639647	
6353.957717	-1.639753	
6353.959717	-1.639779	
6353.961717	-1.639888	
6353.963716	-1.640017	
6353.965716	-1.640179	
6353.967717	-1.640271	
6353.971717	-1.640344	
6353.973717	-1.640374	
6353.975716	-1.640432	
6353.977717	-1.640430	
6353.979717	-1.640443	
6353.981717	-1.640409	
6353.983717	-1.640396	
6353.985716	-1.640374	
6353.987717	-1.640306	
6353.989716	-1.640225	
6353.993717	-1.640151	
6353.995717	-1.639876	
6353.997716	-1.639806	
6353.999716	-1.639721	
6354.001716	-1.639639	
6354.003717	-1.639604	
6354.005716	-1.639532	
6354.007720	-1.628466	
6354.009717	-1.539917	
6354.011720	-1.438369	
6354.015716	-1.241947	
6354.017717	-1.147226	
6354.019717	-1.050951	
6354.021716	-0.957992	
6354.023717	-0.864911	
6354.025717	-0.771665	
6354.027717	-0.681408	
6354.029716	-0.592885	
6354.031718	-0.505412	
6354.035716	-0.421158	
6354.037717	-0.250081	
6354.039717	-0.161720	
6354.041717	-0.073626	
6354.043717	0.013454	
6354.045717	0.099551	
6354.049716	0.187046	
6354.051717	0.359733	
6354.053717	0.445069	
6354.057717	0.534687	
6354.059719	0.720660	
6354.061717	0.814802	
6354.063718	0.910797	
6354.065717	1.007594	
6354.067718	1.104264	
6354.071716	1.202409	
6354.075719	1.392487	
6354.077716	1.593287	
6354.079717	1.616776	
6354.081716	1.616987	
6354.083717	1.617033	
6354.087715	1.617045	
6354.089716	1.617069	
6354.091716	1.617024	
6354.093717	1.617036	
6354.095718	1.617043	
6354.097717	1.617058	
6354.099717	1.617022	
6354.101716	1.617041	
6354.103718	1.617061	
6354.105717	1.617041	
6354.107717	1.617029	
6354.109717	1.617090	
6354.113717	1.617090	
6354.115717	1.617095	
6354.117717	1.617071	
6354.119717	1.617051	
6354.121716	1.617055	
6354.123716	1.617041	
6354.127716	1.617041	
6354.129717	1.617070	
6354.131718	1.617020	
6354.135717	1.616888	
6354.137716	1.524638	
6354.139716	1.426806	
6354.141721	1.338881	
6354.143716	1.251660	
6354.145717	1.170372	
6354.149717	1.084765	
6354.153717	0.928059	
6354.155717	0.786665	
6354.157717	0.722658	
6354.159716	0.661964	
6354.161717	0.604889	
6354.165716	0.552188	
6354.167716	0.454190	
6354.169716	0.414773	
6354.171716	0.376974	
6354.173718	0.342919	
6354.175717	0.310627	
6354.177717	0.278045	
6354.179717	0.249245	
6354.181717	0.222492	
6354.183717	0.198504	
6354.185717	0.176169	
6354.187717	0.154544	
6354.191716	0.137219	
6354.193717	0.104834	
6354.195719	0.091944	
6354.197716	0.078562	
6354.199716	0.066192	
6354.201717	0.055777	
6354.205716	0.046334	
6354.207717	0.029311	
6354.209716	0.022143	
6354.213717	0.015082	
6354.215717	0.004850	
6354.217717	0.000129	
6354.219716	-0.004035	
6354.221717	-0.008573	
6354.225716	-0.010192	
6354.227716	-0.016913	
6354.231717	-0.019483	
6354.233717	-0.023243	
6354.235717	-0.023788	
6354.237716	-0.026014	
6354.239717	-0.026512	
6354.243716	-0.025706	
6354.245717	-0.030322	
6354.247716	-0.030463	
6354.249717	-0.032361	
6354.251717	-0.031028	
6354.253717	-0.030770	
6354.255717	-0.031100	
6354.257716	-0.029998	
6354.259717	-0.030480	
6354.261717	-0.030430	
6354.263717	-0.031284	
6354.265717	-0.032323	
6354.269717	-0.032430	
6354.271718	-0.031555	
6354.273716	-0.029864	
6354.275716	-0.028904	
6354.277717	-0.029340	
6354.279717	-0.028645	
6354.283716	-0.028393	
6354.285716	-0.029333	
6354.287716	-0.028762	
6354.291717	-0.028742	
6354.293716	-0.026296	
6354.295718	-0.025194	
6354.297717	-0.025538	
6354.299717	-0.025402	
6354.303716	-0.024796	
6354.305717	-0.024905	
6354.309718	-0.024287	
6354.311716	-0.022470	
6354.313717	-0.022690	
6354.315717	-0.021912	
6354.317717	-0.022063	
6354.321716	-0.021127	
6354.323717	-0.020683	
6354.325717	-0.021003	
6354.329717	-0.021059	
6354.331717	-0.018241	
6354.333717	-0.019989	
6354.335717	-0.018144	
6354.337717	-0.017782	
6354.339716	-0.017124	
6354.343717	-0.017680	
6354.347717	-0.017809	
6354.349716	-0.016665	
6354.351717	-0.015464	
6354.353717	-0.016045	
6354.355717	-0.015020	
6354.359716	-0.013526	
6354.361716	-0.015618	
6354.363719	-0.014683	
6354.365716	-0.015448	
6354.367717	-0.013727	
6354.369716	-0.013250	
6354.371717	-0.013237	
6354.373716	-0.012196	
6354.375716	-0.011161	
6354.377717	-0.011887	
6354.379715	-0.012459	
6354.381717	-0.013280	
6354.383722	-0.012983	
